,Ia,Ib,Ic,Va,Vb,Vc
0,-170.4721962,9.219613499,161.2525827,0.054490004,-0.659920931,0.605430928
1,-122.2357545,6.168667358,116.0670871,0.102,-0.628611547,0.526201589
2,-90.16147364,3.813632243,86.3478414,0.141025528,-0.605276859,0.464251331
3,-79.90491555,2.398803491,77.50611206,0.156272457,-0.602235331,0.445962874
4,-63.88525488,0.590667394,63.29458748,0.180451483,-0.591501424,0.411049941
5,-55.95468067,-1.001881742,56.95656241,0.193414077,-0.590695397,0.39728132
6,-45.24844608,-2.586980211,47.83542629,0.212393207,-0.584135795,0.371742588
7,-47.84541956,-3.428093604,51.27351316,0.216396222,-0.59012288,0.373726657
8,-43.29425856,-4.511299677,47.80555823,0.229748367,-0.587587955,0.357839588
9,-43.47472218,-5.38823325,48.86295543,0.235732767,-0.591319681,0.355586914
10,-37.00645408,-6.567132402,43.57358648,0.250284461,-0.587394985,0.337110525
11,-40.49158839,-7.334342845,47.82593124,0.253680829,-0.593092855,0.339412027
12,-38.48959314,-8.385391735,46.87498487,0.264396881,-0.592289668,0.327892787
13,-40.90712078,-9.331470657,50.23859144,0.268902243,-0.596917687,0.328015444
14,-35.63892688,-10.63916237,46.27808924,0.28209308,-0.593799269,0.311706189
15,-37.60265937,-11.56345398,49.16611335,0.286978133,-0.597591493,0.31061336
16,-35.34843592,-12.571981,47.92041691,0.297321281,-0.596182452,0.298861172
17,-38.37192616,-13.30575983,51.67768599,0.301313491,-0.600033502,0.298720011
18,-34.69792544,-14.32970099,49.02762642,0.312546754,-0.597346614,0.284799861
19,-36.48556744,-15.13797039,51.62353782,0.317597225,-0.599919993,0.282322768
20,-34.30288648,-16.14289102,50.44577751,0.32741326,-0.59817152,0.270758261
21,-37.32657698,-16.96285341,54.28943039,0.331546985,-0.601280714,0.269733729
22,-34.54062982,-18.07042769,52.61105751,0.341690389,-0.598995843,0.257305454
23,-35.83013542,-18.99863156,54.82876698,0.347248465,-0.600505026,0.253256561
24,-33.12226988,-20.04645809,53.16872796,0.357024929,-0.597987176,0.240962246
25,-35.42929618,-20.81764337,56.24693955,0.361634168,-0.599649474,0.238015306
26,-33.28136479,-21.75031473,55.03167952,0.370651662,-0.597172286,0.226520625
27,-34.77493967,-22.52843428,57.30337394,0.375860743,-0.597827016,0.221966273
28,-32.37703381,-23.49165052,55.86868432,0.384855045,-0.594992709,0.210137665
